name,keywords,content,note
cnr - I could not reach you...,EN,"I could not reach you by phone. Could you please send me a short email and
let me know when you will be available again?",
iq - If you have any questions...,EN,"If you have any questions, do not hesitate to contact me",
ifq - in case of further questions...,EN,In case of further questions do not hesitate to contact me,
"kr - Kind regards,",EN,"Kind regards,",
"Hello - Hello #{ticket.customer.firstname},",EN,"Hello #{ticket.customer.firstname},",
"hello - Hello Ms. #{ticket.customer.firstname},",EN,"Hello Ms. #{ticket.customer.firstname},",
ilf - I look forward to hearing from you,EN,I look forward to hearing from you,
"dms- Dear Ms. #{ticket.customer.lastname},",EN,"Dear Ms. #{ticket.customer.lastname},",
"dmr - Dear Mr. #{ticket.customer.lastname},",EN,"Dear Mr. #{ticket.customer.lastname},",
tfqr - Thank you for your quick reply.,EN,Thank you for your quick reply.,
tff - Thank you for the feedback,EN,Thank you for the feedback.,
tfyr - Thank you for your request.,EN,Thank you for your request.,
ilff - I look forward to your feedback,EN,I look forward to your feedback.,
fs - I look forward to your feedback regarding further steps,EN,I look forward to your feedback regarding further steps.,
"br - Best regards,",EN,"Best regards,",
"sg - Sunny greetings,",EN,"With sunny greetings,",
"sug - Summer greetings,",EN," With summer greetings,",
"wg - Winter greetings,",EN,"With winter greetings,",
"tybr - Thank you and best regards,",EN,"Thank you and best regards,",
ifqp - In case of further questions...phone,EN,"If you have any questions, do not hesitate to contact me by phone.",
ai - Analyse issue,EN,"<p>Thank you for your request.</p><p>We will analyse the issue and get back
to you as soon as possible.</p>",
tya - Thank you in advance,EN,"Kind regards and thank you in advance,",
iwlk - I would like to know,EN,"I would like to know,",
wrt - With reference to,EN,With reference to,
mdi - more detailed information,EN,"We would appreciate it if you could send us more detailed information about
...",
fa - further assistance,EN,"If you need any additional assistance, please contact me",
reg - Regards,EN,Regards,
